30.000000000000004%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;0.0015179740297749918;0.16;_;41.61;55.74;1.4585746547959567E-4;0.19;_;38.67;55.88;0.002909723459292127;0.15;_
iTrust;UD;45.76;59.36;0.11086294354212467;0.08;_;45.49;59.03;0.08243093536501694;0.09;_;44.81;62.47;0.823338001702785;0.01;_
iTrust;CLUSTER;51.25;60.85;_;_;0.0944;50.26;60.03;_;_;0.1174;47.56;57.41;_;_;0.2973
Maven;IR;26.62;43.36;0.04764470546023496;0.16;_;26.53;43.22;0.043013525532087114;0.16;_;23.97;45.92;0.00966169133758943;0.20;_
Maven;UD;27.64;43.86;0.21959129402468336;0.10;_;27.63;43.89;0.18233602290956652;0.11;_;25.81;47.17;0.14023805855520677;0.12;_
Maven;CLUSTER;28.79;38.38;_;_;0.0746;28.88;38.19;_;_;0.2484;27.06;39.33;_;_;0.0778
Infinispan;IR;8.02;23.79;5.54135292811502E-6;0.14;_;7.22;23.69;4.384383042309138E-4;0.10;_;5.90;23.41;8.105693010701862E-5;0.12;_
Infinispan;UD;8.59;24.15;0.004169977517493681;0.09;_;8.46;24.50;0.6809871073115643;-0.01;_;6.51;24.07;0.22098742427627815;0.04;_
Infinispan;CLUSTER;9.47;21.98;_;_;0.1459;8.55;21.55;_;_;0.0581;7.00;21.21;_;_;0.0566
