80.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;5.6281407827199324E-5;0.21;_;41.61;55.74;2.6668532253742665E-6;0.24;_;38.67;55.88;2.919925523988234E-5;0.21;_
iTrust;UD;45.76;59.36;0.012805095440719623;0.13;_;45.49;59.03;0.007930671449717286;0.14;_;44.81;62.47;0.1331539955744877;0.08;_
iTrust;CLUSTER;52.36;61.58;_;_;0.2797;51.18;60.85;_;_;0.2408;49.03;59.15;_;_;0.2404
Maven;IR;26.62;43.36;0.00254233705928941;0.24;_;26.53;43.22;0.0021875016402092273;0.24;_;23.97;45.92;0.003123347148638038;0.23;_
Maven;UD;27.64;43.86;0.010732907264869527;0.20;_;27.63;43.89;0.009943958144584184;0.20;_;25.81;47.17;0.062391551509318445;0.15;_
Maven;CLUSTER;30.77;39.96;_;_;0.2008;30.79;39.80;_;_;0.2509;27.12;39.39;_;_;0.2016
Infinispan;IR;8.02;23.79;1.2125502730371531E-9;0.18;_;7.22;23.69;3.1399693113906827E-6;0.14;_;5.90;23.41;2.4439141830104795E-8;0.17;_
Infinispan;UD;8.59;24.15;1.2353409664677607E-5;0.13;_;8.46;24.50;0.4610076224350945;0.02;_;6.51;24.07;0.0032981995743295895;0.09;_
Infinispan;CLUSTER;9.80;22.13;_;_;0.1218;8.78;21.91;_;_;0.1684;7.09;21.55;_;_;0.1665
