89.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;6.478274396208362E-6;0.23;_;41.61;55.74;2.778809717656368E-6;0.24;_;38.67;55.88;2.903764043467616E-6;0.24;_
iTrust;UD;45.76;59.36;0.00268161825915683;0.15;_;45.49;59.03;0.008123472801405263;0.14;_;44.81;62.47;0.04589437091965528;0.10;_
iTrust;CLUSTER;52.37;61.79;_;_;0.3044;51.14;60.70;_;_;0.2786;49.81;59.68;_;_;0.2735
Maven;IR;26.62;43.36;0.0024512430053376935;0.24;_;26.53;43.22;0.002277954775422075;0.24;_;23.97;45.92;0.003123347148638038;0.23;_
Maven;UD;27.64;43.86;0.01010392696675886;0.20;_;27.63;43.89;0.010201004495947484;0.20;_;25.81;47.17;0.062391551509318445;0.15;_
Maven;CLUSTER;30.78;39.95;_;_;0.2267;30.79;39.74;_;_;0.2250;27.12;39.39;_;_;0.2271
Infinispan;IR;8.02;23.79;5.248689686269978E-10;0.18;_;7.22;23.69;1.9257236547971796E-6;0.14;_;5.90;23.41;1.5140512619842494E-8;0.17;_
Infinispan;UD;8.59;24.15;6.387668359581739E-6;0.13;_;8.46;24.50;0.4057252482989667;0.02;_;6.51;24.07;0.002589093761309733;0.09;_
Infinispan;CLUSTER;9.82;22.11;_;_;0.1459;8.82;21.93;_;_;0.1892;7.09;21.61;_;_;0.1880
