35.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;4.788476107070438E-6;0.23;_;41.61;55.74;1.347899471689503E-6;0.25;_;38.67;55.88;2.1642946596866603E-5;0.22;_
iTrust;UD;45.76;59.36;0.002489680279766109;0.15;_;45.49;59.03;0.009175938496356407;0.13;_;44.81;62.47;0.1331539955744877;0.08;_
iTrust;CLUSTER;53.01;63.11;_;_;0.0884;50.51;63.17;_;_;0.1266;47.77;62.83;_;_;0.1270
Maven;IR;26.62;43.26;8.194626604301906E-4;0.26;_;26.53;43.22;0.004488480759315986;0.22;_;23.97;45.87;0.01010392696675886;0.20;_
Maven;UD;27.63;43.75;0.003730061220936332;0.23;_;27.63;43.89;0.019148555991468825;0.19;_;25.80;47.13;0.18306108423016898;0.11;_
Maven;CLUSTER;33.10;47.48;_;_;0.0806;32.43;47.10;_;_;0.0790;26.88;48.58;_;_;0.0786
Gantt;IR;43.20;50.52;2.758105198793719E-12;0.32;_;43.07;52.66;1.4539198950518002E-14;0.35;_;36.40;46.95;3.409289836374154E-13;0.34;_
Gantt;UD;47.99;56.33;0.0032271551576900613;0.14;_;47.75;57.87;0.10363463101866821;0.07;_;45.60;57.92;1.8951816695895047E-4;0.17;_
Gantt;CLUSTER;50.12;58.73;_;_;0.0912;50.16;59.54;_;_;0.0922;48.04;56.04;_;_;0.0902
