80.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;5.994264787015893E-9;0.30;_;39.96;54.31;2.511844330042701E-11;0.34;_;36.91;55.34;8.525490501831733E-10;0.31;_
iTrust;UD;43.59;57.73;1.4419571416279237E-5;0.22;_;43.32;57.50;5.684663211702545E-6;0.23;_;42.82;61.59;8.456963789173174E-4;0.17;_
iTrust;CLUSTER;53.18;63.01;_;_;0.2810;52.64;62.56;_;_;0.2417;48.84;61.50;_;_;0.1758
Maven;IR;26.62;43.26;5.817716280040011E-4;0.27;_;26.53;43.22;4.8766099273735825E-4;0.28;_;23.97;45.87;8.097285155301301E-4;0.27;_
Maven;UD;27.63;43.75;0.00270432983337441;0.24;_;27.63;43.89;0.002589035753573089;0.24;_;25.80;47.13;0.027791717400291335;0.17;_
Maven;CLUSTER;31.01;40.09;_;_;0.2004;31.04;39.89;_;_;0.1988;27.57;39.28;_;_;0.2016
Infinispan;IR;8.02;23.80;1.9041305240670665E-11;0.20;_;7.22;23.69;4.5464181224109004E-7;0.15;_;5.91;23.42;6.208552771725275E-10;0.18;_
Infinispan;UD;8.59;24.16;7.303667972179649E-7;0.15;_;8.46;24.50;0.26091716173948376;0.03;_;6.51;24.08;4.193466486402124E-4;0.10;_
Infinispan;CLUSTER;9.83;21.97;_;_;0.1679;8.68;21.24;_;_;0.1687;7.14;20.74;_;_;0.1669
