60.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.4457389450621286E-8;0.29;_;39.96;54.31;8.23225834226926E-11;0.33;_;36.91;55.34;5.070099525429502E-8;0.28;_
iTrust;UD;43.59;57.73;2.769425144258472E-5;0.21;_;43.32;57.50;1.3465717596707588E-5;0.22;_;42.82;61.59;0.010312679934136794;0.13;_
iTrust;CLUSTER;53.06;63.00;_;_;0.1861;52.21;62.48;_;_;0.1176;47.43;60.73;_;_;0.1859
Maven;IR;26.62;43.26;5.865357622543892E-4;0.27;_;26.53;43.22;4.8766099273735825E-4;0.28;_;23.97;45.87;7.5960052902725E-4;0.27;_
Maven;UD;27.63;43.75;0.00276371908755105;0.24;_;27.63;43.89;0.0026847940556553726;0.24;_;25.80;47.13;0.026941962466148477;0.18;_
Maven;CLUSTER;31.00;40.08;_;_;0.1440;31.03;39.89;_;_;0.1427;27.25;39.07;_;_;0.1456
Infinispan;IR;8.02;23.80;3.932586510778865E-9;0.17;_;7.22;23.69;1.0615224034326365E-5;0.13;_;5.91;23.42;1.370144648876712E-8;0.17;_
Infinispan;UD;8.59;24.16;3.291499213983114E-5;0.12;_;8.46;24.50;0.6598261830440434;0.01;_;6.51;24.08;0.0025253776921209535;0.09;_
Infinispan;CLUSTER;9.68;21.92;_;_;0.1222;8.55;21.17;_;_;0.1243;7.23;20.65;_;_;0.1221
