50.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.697492660002997E-8;0.28;_;39.96;54.31;2.9748571813448845E-10;0.32;_;36.91;55.34;4.534357508729804E-8;0.28;_
iTrust;UD;43.59;57.73;5.549564340473277E-5;0.21;_;43.32;57.50;3.123107899925083E-5;0.21;_;42.82;61.59;0.009338168149423585;0.13;_
iTrust;CLUSTER;52.91;62.60;_;_;0.1558;51.84;62.61;_;_;0.1176;47.54;60.86;_;_;0.1556
Maven;IR;26.62;43.26;5.865357622543892E-4;0.27;_;26.53;43.22;4.998809327979185E-4;0.28;_;23.97;45.87;6.787486663828253E-4;0.27;_
Maven;UD;27.63;43.75;0.0026847940556553726;0.24;_;27.63;43.89;0.002560923307106555;0.24;_;25.80;47.13;0.025093719478648004;0.18;_
Maven;CLUSTER;30.86;39.29;_;_;0.1198;30.89;39.21;_;_;0.1194;27.59;39.29;_;_;0.1214
Infinispan;IR;8.02;23.80;2.893599599168783E-9;0.18;_;7.22;23.69;1.7906274809504296E-5;0.13;_;5.91;23.42;4.2471319956479526E-8;0.16;_
Infinispan;UD;8.59;24.16;2.6292424678987663E-5;0.12;_;8.46;24.50;0.7630173546742213;0.01;_;6.51;24.08;0.004868457472118611;0.08;_
Infinispan;CLUSTER;9.70;21.99;_;_;0.1014;8.52;21.16;_;_;0.1035;7.23;20.62;_;_;0.1010
