30.000000000000004%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.0802445517667115E-6;0.25;_;39.96;54.31;3.447521357109108E-8;0.28;_;36.91;55.34;4.499843484916934E-7;0.26;_
iTrust;UD;43.59;57.73;7.318736502038783E-4;0.17;_;43.32;57.50;7.231272570204431E-4;0.17;_;42.82;61.59;0.028906298622741744;0.11;_
iTrust;CLUSTER;51.45;62.02;_;_;0.1206;50.81;61.67;_;_;0.1833;47.73;60.71;_;_;0.0959
Maven;IR;26.62;43.26;0.029313953303849165;0.17;_;26.53;43.22;0.028106398492020894;0.17;_;23.97;45.87;0.003716944399354213;0.23;_
Maven;UD;27.63;43.75;0.14781128712186542;0.11;_;27.63;43.89;0.13353763327141155;0.12;_;25.80;47.13;0.07194396359300413;0.14;_
Maven;CLUSTER;28.94;38.35;_;_;0.0746;29.04;38.16;_;_;0.2977;27.44;39.20;_;_;0.0778
Infinispan;IR;8.02;23.80;1.7865035014054344E-7;0.16;_;7.22;23.69;1.6862815683230055E-4;0.11;_;5.91;23.42;4.107835045662613E-6;0.14;_
Infinispan;UD;8.59;24.16;4.961899825225077E-4;0.10;_;8.46;24.50;0.8186487148274431;-0.01;_;6.51;24.08;0.05445417351272811;0.06;_
Infinispan;CLUSTER;9.41;21.83;_;_;0.0570;8.45;20.98;_;_;0.0585;7.05;20.50;_;_;0.0569
