70.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.8431315838234408E-8;0.29;_;39.96;54.31;8.550360648521548E-11;0.33;_;36.91;55.34;7.107169348885982E-9;0.30;_
iTrust;UD;43.59;57.73;3.240300203260845E-5;0.21;_;43.32;57.50;1.3820866085383464E-5;0.22;_;42.82;61.59;0.0033641097654816174;0.15;_
iTrust;CLUSTER;52.74;62.80;_;_;0.2810;52.20;62.34;_;_;0.2118;48.04;61.04;_;_;0.2138
Maven;IR;26.62;43.26;5.817716280040011E-4;0.27;_;26.53;43.22;4.8766099273735825E-4;0.28;_;23.97;45.87;7.565652590704773E-4;0.27;_
Maven;UD;27.63;43.75;0.0027437915813871014;0.24;_;27.63;43.89;0.0026847940556553726;0.24;_;25.80;47.13;0.026638570784734496;0.18;_
Maven;CLUSTER;31.00;40.09;_;_;0.0379;31.03;39.89;_;_;0.1742;27.57;39.29;_;_;0.1770
Infinispan;IR;8.02;23.80;2.4545820691222544E-10;0.19;_;7.22;23.69;9.998264090612895E-7;0.15;_;5.91;23.42;3.5364825189526026E-9;0.18;_
Infinispan;UD;8.59;24.16;4.872500370386528E-6;0.14;_;8.46;24.50;0.3328054062043799;0.03;_;6.51;24.08;0.0010784434857781737;0.10;_
Infinispan;CLUSTER;9.79;21.95;_;_;0.1463;8.65;21.22;_;_;0.1480;7.11;20.70;_;_;0.1463
