40.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.554259464674335E-7;0.27;_;39.96;54.31;4.961220702979601E-9;0.30;_;36.91;55.34;2.1083292202508753E-7;0.27;_
iTrust;UD;43.59;57.73;1.542059230056544E-4;0.19;_;43.32;57.50;2.0556113715389777E-4;0.19;_;42.82;61.59;0.018696567836507236;0.12;_
iTrust;CLUSTER;52.54;62.59;_;_;0.1558;50.72;62.10;_;_;0.1176;47.94;60.56;_;_;0.1198
Maven;IR;26.62;43.26;5.584866986324442E-4;0.27;_;26.53;43.22;4.718007961335303E-4;0.28;_;23.97;45.87;0.0021554343274137727;0.24;_
Maven;UD;27.63;43.75;0.002533090274652153;0.24;_;27.63;43.89;0.0024512430053376935;0.24;_;25.80;47.13;0.06040107572470603;0.15;_
Maven;CLUSTER;31.03;39.52;_;_;0.0980;31.06;39.36;_;_;0.0976;27.42;39.17;_;_;0.0996
Infinispan;IR;8.02;23.80;2.011165948039252E-8;0.17;_;7.22;23.69;5.0316047284820594E-5;0.12;_;5.91;23.42;2.693268684299216E-7;0.15;_
Infinispan;UD;8.59;24.16;1.0420622489835711E-4;0.12;_;8.46;24.50;0.9711876615383762;0.00;_;6.51;24.08;0.012417789223698674;0.07;_
Infinispan;CLUSTER;9.57;21.88;_;_;0.0809;8.45;21.02;_;_;0.0826;7.16;20.63;_;_;0.0801
