20.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;6.151421176286128E-7;0.26;_;39.96;54.31;5.018965221141779E-8;0.28;_;36.91;55.34;7.160657442589609E-7;0.25;_
iTrust;UD;43.59;57.73;4.534326263436532E-4;0.18;_;43.32;57.50;9.747131119774117E-4;0.17;_;42.82;61.59;0.037260282379187395;0.11;_
iTrust;CLUSTER;52.24;62.44;_;_;0.0957;51.41;61.77;_;_;0.0583;47.61;60.94;_;_;0.0605
Maven;IR;26.62;43.26;0.34805159957286;0.07;_;26.53;43.22;0.32801586552408935;0.08;_;23.97;45.87;0.018700001404147314;0.19;_
Maven;UD;27.63;43.75;0.8442134971450195;0.02;_;27.63;43.89;0.8183824451251609;0.02;_;25.80;47.13;0.2459375110682378;0.09;_
Maven;CLUSTER;27.93;39.00;_;_;0.0383;28.04;38.79;_;_;0.0379;28.38;39.18;_;_;0.0778
Infinispan;IR;8.02;23.80;6.276693995426864E-5;0.12;_;7.22;23.69;7.655844699030055E-4;0.10;_;5.91;23.42;2.8524702932553145E-4;0.11;_
Infinispan;UD;8.59;24.16;0.027806996946035244;0.07;_;8.46;24.50;0.42731971252336687;-0.02;_;6.51;24.08;0.33667924878551847;0.03;_
Infinispan;CLUSTER;9.12;21.60;_;_;0.0368;8.23;20.97;_;_;0.0377;6.86;20.23;_;_;0.0370
