89.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.944359605319651E-10;0.32;_;39.96;54.31;3.636993577569129E-12;0.36;_;36.91;55.34;2.627560615405814E-11;0.34;_
iTrust;UD;43.59;57.73;1.6414557027793132E-6;0.25;_;43.32;57.50;1.268817915541979E-6;0.25;_;42.82;61.59;1.0573338088208135E-4;0.20;_
iTrust;CLUSTER;52.91;63.02;_;_;0.2810;52.80;62.49;_;_;0.0948;49.65;62.04;_;_;0.1859
Maven;IR;26.62;43.26;6.109060047849934E-4;0.27;_;26.53;43.22;5.208838765186449E-4;0.27;_;23.97;45.87;8.032988107063837E-4;0.27;_
Maven;UD;27.63;43.75;0.0027837787120958235;0.24;_;27.63;43.89;0.002714146352764109;0.24;_;25.80;47.13;0.027791717400291335;0.17;_
Maven;CLUSTER;31.01;40.08;_;_;0.2263;31.03;39.84;_;_;0.1214;27.57;39.28;_;_;0.2275
Infinispan;IR;8.02;23.80;8.309020218017402E-12;0.20;_;7.22;23.69;2.532992854313742E-7;0.15;_;5.91;23.42;3.983221236689837E-10;0.19;_
Infinispan;UD;8.59;24.16;4.078789442043911E-7;0.15;_;8.46;24.50;0.21634692351773654;0.04;_;6.51;24.08;3.181281447689965E-4;0.11;_
Infinispan;CLUSTER;9.86;21.97;_;_;0.1891;8.73;21.25;_;_;0.1896;7.14;20.75;_;_;0.1882
