89.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;9.246549970976531E-10;0.31;_;41.61;55.74;1.8891207951925566E-10;0.33;_;38.67;55.88;2.4447670280790926E-10;0.32;_
iTrust;UD;45.76;59.36;5.823928555296513E-6;0.23;_;45.49;59.03;1.5166548131435257E-5;0.22;_;44.81;62.47;2.830341194620309E-4;0.19;_
iTrust;CLUSTER;53.52;64.72;_;_;0.2799;53.12;64.37;_;_;0.2788;52.18;66.05;_;_;0.2739
Maven;IR;26.62;43.36;6.084272356128514E-4;0.27;_;26.53;43.22;5.019451367291761E-4;0.28;_;23.97;45.92;7.657050183447531E-4;0.27;_
Maven;UD;27.64;43.86;0.0027537388681151452;0.24;_;27.63;43.89;0.0026557321143104045;0.24;_;25.81;47.17;0.028027441691829618;0.17;_
Maven;CLUSTER;31.38;44.02;_;_;0.2509;31.40;43.78;_;_;0.2250;28.04;45.47;_;_;0.2509
Infinispan;IR;8.02;23.79;7.2076636357943625E-12;0.20;_;7.22;23.69;2.549800377157156E-7;0.15;_;5.90;23.41;2.3633367409057125E-10;0.19;_
Infinispan;UD;8.59;24.15;3.6771278922944085E-7;0.15;_;8.46;24.50;0.21619345744125074;0.04;_;6.51;24.07;2.6109617692350807E-4;0.11;_
Infinispan;CLUSTER;9.86;24.04;_;_;0.1890;8.75;23.43;_;_;0.1896;7.18;23.24;_;_;0.1884
