10.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.4691121054540365E-5;0.21;_;39.96;54.31;5.52831544603849E-5;0.21;_;36.91;55.34;1.0133968037269311E-5;0.23;_
iTrust;UD;43.59;57.73;0.013594223901939555;0.13;_;43.32;57.50;0.09308167669517475;0.09;_;42.82;61.59;0.15568054044643964;0.07;_
iTrust;CLUSTER;49.31;61.28;_;_;0.0579;47.70;59.98;_;_;0.0259;47.30;62.25;_;_;0.0603
Maven;IR;26.62;43.26;0.10044322282003448;0.13;_;26.53;43.22;0.09312481760589375;0.13;_;23.97;45.87;0.11115346422293937;0.13;_
Maven;UD;27.63;43.75;0.3335047951367792;0.08;_;27.63;43.89;0.3124314015945473;0.08;_;25.80;47.13;0.8754309517561784;0.01;_
Maven;CLUSTER;29.91;43.26;_;_;0.0383;29.87;43.13;_;_;0.2410;27.10;45.56;_;_;0.0149
Infinispan;IR;8.02;23.80;0.0047150914607756505;0.08;_;7.22;23.69;0.04519652561833428;0.06;_;5.91;23.42;0.013204434114503458;0.07;_
Infinispan;UD;8.59;24.16;0.5908593114824476;0.02;_;8.46;24.50;0.005811246300384793;-0.08;_;6.51;24.08;0.6172849923469361;-0.01;_
Infinispan;CLUSTER;8.73;23.59;_;_;0.0169;7.96;23.17;_;_;0.0170;6.59;22.95;_;_;0.0168
