60.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;4.3093830720371135E-8;0.28;_;41.61;55.74;1.5510152160775973E-9;0.31;_;38.67;55.88;3.152337104629618E-7;0.26;_
iTrust;UD;45.76;59.36;9.21447249704898E-5;0.20;_;45.49;59.03;6.967211307876829E-5;0.20;_;44.81;62.47;0.014619538061462283;0.12;_
iTrust;CLUSTER;53.52;64.59;_;_;0.2138;52.50;64.27;_;_;0.2410;50.05;64.76;_;_;0.2138
Maven;IR;26.62;43.36;5.841491734814669E-4;0.27;_;26.53;43.22;4.698524598484392E-4;0.28;_;23.97;45.92;6.897873142881002E-4;0.27;_
Maven;UD;27.64;43.86;0.0027338771307788873;0.24;_;27.63;43.89;0.002626957972120144;0.24;_;25.81;47.17;0.02686583621464581;0.18;_
Maven;CLUSTER;31.37;44.02;_;_;0.1444;31.40;43.84;_;_;0.1742;27.71;45.27;_;_;0.2484
Infinispan;IR;8.02;23.79;3.2813155683188848E-9;0.18;_;7.22;23.69;1.0629681255725182E-5;0.13;_;5.90;23.41;9.023272994368564E-9;0.17;_
Infinispan;UD;8.59;24.15;2.888235382892411E-5;0.12;_;8.46;24.50;0.6601681527422033;0.01;_;6.51;24.07;0.0022207749711877756;0.09;_
Infinispan;CLUSTER;9.68;24.02;_;_;0.1222;8.58;23.38;_;_;0.1242;7.27;23.22;_;_;0.1221
