50.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;2.4174965535708063E-7;0.26;_;41.61;55.74;1.3791048229447804E-9;0.31;_;38.67;55.88;2.9295174602569863E-7;0.26;_
iTrust;UD;45.76;59.36;3.127402172300613E-4;0.18;_;45.49;59.03;6.184783250653178E-5;0.21;_;44.81;62.47;0.014365997159445218;0.13;_
iTrust;CLUSTER;53.01;64.02;_;_;0.1852;52.73;64.45;_;_;0.1526;50.02;64.74;_;_;0.1552
Maven;IR;26.62;43.36;5.841491734814669E-4;0.27;_;26.53;43.22;4.816560341477712E-4;0.28;_;23.97;45.92;6.209153571748039E-4;0.27;_
Maven;UD;27.64;43.86;0.0026557321143104045;0.24;_;27.63;43.89;0.002505534181327926;0.24;_;25.81;47.17;0.0252374290248479;0.18;_
Maven;CLUSTER;31.24;43.90;_;_;0.2138;31.27;43.82;_;_;0.1194;28.07;45.49;_;_;0.1206
Infinispan;IR;8.02;23.79;2.4222016897922714E-9;0.18;_;7.22;23.69;1.794914551393616E-5;0.13;_;5.90;23.41;2.8767902904939284E-8;0.16;_
Infinispan;UD;8.59;24.15;2.3073884500371475E-5;0.13;_;8.46;24.50;0.7631973474382794;0.01;_;6.51;24.07;0.004380603245838592;0.08;_
Infinispan;CLUSTER;9.71;24.08;_;_;0.1013;8.55;23.37;_;_;0.1034;7.26;23.16;_;_;0.1010
