30.000000000000004%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.0687904725469442E-6;0.25;_;39.96;54.31;3.4534184093985336E-8;0.28;_;36.91;55.34;4.4646098455081553E-7;0.26;_
iTrust;UD;43.59;57.73;7.294785751868829E-4;0.17;_;43.32;57.50;7.199708984374137E-4;0.17;_;42.82;61.59;0.028752353364433422;0.11;_
iTrust;CLUSTER;51.51;62.78;_;_;0.1554;50.85;62.06;_;_;0.2413;48.14;62.43;_;_;0.1554
Maven;IR;26.62;43.26;0.028906567130927447;0.17;_;26.53;43.22;0.02717145960704643;0.17;_;23.97;45.87;0.0031796919524312494;0.23;_
Maven;UD;27.63;43.75;0.14750247550695395;0.11;_;27.63;43.89;0.13070283038205754;0.12;_;25.80;47.13;0.07229362328647625;0.14;_
Maven;CLUSTER;29.32;42.90;_;_;0.0746;29.43;42.72;_;_;0.2975;27.91;45.25;_;_;0.2258
Infinispan;IR;8.02;23.80;1.784796292732482E-7;0.16;_;7.22;23.69;1.6922614626548662E-4;0.11;_;5.91;23.42;3.6568575778250946E-6;0.14;_
Infinispan;UD;8.59;24.16;4.964087889459262E-4;0.10;_;8.46;24.50;0.8189698031329524;-0.01;_;6.51;24.08;0.052104572328034844;0.06;_
Infinispan;CLUSTER;9.42;23.99;_;_;0.0570;8.47;23.31;_;_;0.0585;7.09;23.24;_;_;0.0568
