40.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.5341189543847138E-7;0.27;_;39.96;54.31;4.925505297933878E-9;0.30;_;36.91;55.34;2.0712272588873686E-7;0.27;_
iTrust;UD;43.59;57.73;1.5290712714757044E-4;0.19;_;43.32;57.50;2.0410146157498696E-4;0.19;_;42.82;61.59;0.01854609360924764;0.12;_
iTrust;CLUSTER;52.60;63.35;_;_;0.1554;50.76;62.49;_;_;0.1522;48.37;62.44;_;_;0.0383
Maven;IR;26.62;43.26;5.516723303086397E-4;0.27;_;26.53;43.22;4.5831918359279743E-4;0.28;_;23.97;45.87;0.001850718765488999;0.25;_
Maven;UD;27.63;43.75;0.0025238742608764426;0.24;_;27.63;43.89;0.002398030349800353;0.24;_;25.80;47.13;0.05729705338602985;0.15;_
Maven;CLUSTER;31.42;44.08;_;_;0.0980;31.45;43.91;_;_;0.0976;27.89;45.16;_;_;0.1194
Infinispan;IR;8.02;23.80;2.0036338749728148E-8;0.17;_;7.22;23.69;5.0366877435893405E-5;0.12;_;5.91;23.42;2.307175457410571E-7;0.15;_
Infinispan;UD;8.59;24.16;1.0418093964588349E-4;0.12;_;8.46;24.50;0.972222972863094;0.00;_;6.51;24.08;0.011910047687810874;0.07;_
Infinispan;CLUSTER;9.58;24.02;_;_;0.0809;8.48;23.35;_;_;0.0826;7.20;23.36;_;_;0.0800
