99.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;3.846814009502025E-10;0.32;_;39.96;54.31;3.636993577569129E-12;0.36;_;36.91;55.34;4.618849409336075E-13;0.37;_
iTrust;UD;43.59;57.73;1.6316458621389093E-6;0.25;_;43.32;57.50;1.2803888804488889E-6;0.25;_;42.82;61.59;7.0717523594373564E-6;0.23;_
iTrust;CLUSTER;52.97;63.89;_;_;0.3059;52.85;63.08;_;_;0.3046;51.36;64.81;_;_;0.2975
Maven;IR;26.62;43.26;2.0154664024607196E-4;0.29;_;26.53;43.22;1.887400556447514E-4;0.30;_;23.97;45.87;1.9892176228955452E-4;0.29;_
Maven;UD;27.63;43.75;0.0010630949096075391;0.26;_;27.63;43.89;9.45055045451E-4;0.26;_;25.80;47.13;0.009118496555715287;0.21;_
Maven;CLUSTER;31.63;44.34;_;_;0.2505;31.64;44.11;_;_;0.2484;28.47;45.62;_;_;0.2513
Infinispan;IR;8.02;23.80;1.1051448156511365E-11;0.20;_;7.22;23.69;1.4723173194714441E-7;0.16;_;5.91;23.42;3.5380142218215615E-10;0.19;_
Infinispan;UD;8.59;24.16;5.101499041912468E-7;0.15;_;8.46;24.50;0.1804007467044314;0.04;_;6.51;24.08;3.2898444341338673E-4;0.11;_
Infinispan;CLUSTER;9.84;24.06;_;_;0.2079;8.77;23.49;_;_;0.2082;7.17;23.29;_;_;0.2075
