70.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;40.92;55.73;1.8431315838234408E-8;0.29;_;39.96;54.31;8.448630510238501E-11;0.33;_;36.91;55.34;6.796209340310993E-9;0.30;_
iTrust;UD;43.59;57.73;3.210616539192168E-5;0.21;_;43.32;57.50;1.4011357196763089E-5;0.22;_;42.82;61.59;0.0033188172637721247;0.15;_
iTrust;CLUSTER;52.80;63.60;_;_;0.2131;52.24;62.86;_;_;0.2797;48.57;63.07;_;_;0.0149
Maven;IR;26.62;43.26;5.700184551275485E-4;0.27;_;26.53;43.22;4.698524598484392E-4;0.28;_;23.97;45.87;7.009926302788149E-4;0.27;_
Maven;UD;27.63;43.75;0.00267507460676733;0.24;_;27.63;43.89;0.002626957972120144;0.24;_;25.80;47.13;0.026040630668889134;0.18;_
Maven;CLUSTER;31.38;44.18;_;_;0.1754;31.40;43.99;_;_;0.1742;28.05;45.49;_;_;0.2484
Infinispan;IR;8.02;23.80;2.4377399364928596E-10;0.19;_;7.22;23.69;1.0067461929073342E-6;0.15;_;5.91;23.42;2.8687133670395277E-9;0.18;_
Infinispan;UD;8.59;24.16;4.834223411443255E-6;0.14;_;8.46;24.50;0.332422554971034;0.03;_;6.51;24.08;0.0010282670790094065;0.10;_
Infinispan;CLUSTER;9.80;24.07;_;_;0.1462;8.67;23.47;_;_;0.1480;7.15;23.32;_;_;0.1463
