44.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;5.06510692629805E-11;0.34;_;41.61;55.74;9.616690277468623E-11;0.33;_;38.67;55.88;1.5533716341061238E-8;0.29;_
iTrust;UD;45.76;59.36;4.5353452724898515E-7;0.26;_;45.49;59.03;7.315163503109735E-6;0.23;_;44.81;62.47;0.0030794872902266293;0.15;_
iTrust;CLUSTER;54.44;65.64;_;_;0.1146;53.14;65.25;_;_;0.1444;50.24;65.62;_;_;0.1152
Maven;IR;26.62;43.26;2.02428806445282E-4;0.29;_;26.53;43.22;5.360721878579119E-4;0.27;_;23.97;45.87;0.0015154511635264228;0.25;_
Maven;UD;27.63;43.75;0.0011808471311325168;0.26;_;27.63;43.89;0.0035501998931307312;0.23;_;25.80;47.13;0.06332836695579029;0.15;_
Maven;CLUSTER;31.69;46.69;_;_;0.0843;31.16;46.43;_;_;0.1040;27.18;48.52;_;_;0.1056
Gantt;IR;43.20;50.52;7.621022123939966E-9;0.27;_;43.07;52.66;9.764886977920797E-13;0.33;_;36.40;46.95;1.5474446547519426E-17;0.39;_
Gantt;UD;47.99;56.33;0.23858559262136014;0.05;_;47.75;57.87;0.6612214926979478;0.02;_;45.60;57.92;2.310377274363704E-6;0.22;_
Gantt;CLUSTER;47.22;60.42;_;_;0.1103;46.91;61.07;_;_;0.1129;50.08;57.07;_;_;0.1108
