30.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;2.8307119756624027E-8;0.28;_;41.61;55.74;2.1574629484253912E-9;0.31;_;38.67;55.88;4.383144598269017E-8;0.28;_
iTrust;UD;45.76;59.36;6.311806543664818E-5;0.20;_;45.49;59.03;7.226915509806675E-5;0.20;_;44.81;62.47;0.00532122321838736;0.14;_
iTrust;CLUSTER;53.02;64.54;_;_;0.1146;52.91;64.44;_;_;0.0963;49.88;65.47;_;_;0.0955
Maven;IR;26.62;43.26;0.02043091217078401;0.18;_;26.53;43.22;0.017201643159211678;0.19;_;23.97;45.87;0.0055512282713374664;0.22;_
Maven;UD;27.63;43.75;0.0856357388331005;0.14;_;27.63;43.89;0.0769671043525709;0.14;_;25.80;47.13;0.12819162412518859;0.12;_
Maven;CLUSTER;30.51;45.69;_;_;0.0726;30.32;45.66;_;_;0.1056;26.73;48.10;_;_;0.0722
Gantt;IR;43.20;50.52;3.0134475233018147E-6;0.22;_;43.07;52.66;1.1259040988169569E-7;0.24;_;36.40;46.95;6.113939959525764E-13;0.33;_
Gantt;UD;47.99;56.33;0.24652592034427645;-0.05;_;47.75;57.87;0.1106440221469015;-0.07;_;45.60;57.92;0.001028741861947506;0.15;_
Gantt;CLUSTER;46.34;58.84;_;_;0.0745;46.00;60.27;_;_;0.0756;48.10;56.44;_;_;0.0735
