60.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;1.9311677362747344E-11;0.34;_;41.61;55.74;2.673810994749042E-12;0.36;_;38.67;55.88;1.1963233631768967E-9;0.31;_
iTrust;UD;45.76;59.36;2.237899533939996E-7;0.27;_;45.49;59.03;6.009588564525605E-7;0.26;_;44.81;62.47;6.91375403925963E-4;0.17;_
iTrust;CLUSTER;54.53;65.88;_;_;0.1923;53.84;65.75;_;_;0.1923;50.47;65.99;_;_;0.1818
Maven;IR;26.62;43.26;2.02428806445282E-4;0.29;_;26.53;43.22;1.9207824590740727E-4;0.30;_;23.97;45.87;0.0016848867826339917;0.25;_
Maven;UD;27.63;43.75;0.0011808471311325168;0.26;_;27.63;43.89;0.0011010813965253085;0.26;_;25.80;47.13;0.0903619824719839;0.13;_
Maven;CLUSTER;31.69;46.69;_;_;0.1484;31.49;46.70;_;_;0.1468;26.83;48.24;_;_;0.1508
Gantt;IR;43.20;50.52;9.250660191322486E-10;0.28;_;43.07;52.66;3.655398694237417E-13;0.33;_;36.40;46.95;2.784667008614039E-18;0.40;_
Gantt;UD;47.99;56.33;0.058883534469197044;0.09;_;47.75;57.87;0.27615322302625944;0.05;_;45.60;57.92;5.610847308646627E-8;0.25;_
Gantt;CLUSTER;47.45;61.01;_;_;0.1446;47.08;60.45;_;_;0.1496;50.93;57.69;_;_;0.1436
