54.99999999999999%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;1.9311677362747344E-11;0.34;_;41.61;55.74;2.673810994749042E-12;0.36;_;38.67;55.88;3.759530070506439E-9;0.30;_
iTrust;UD;45.76;59.36;2.237899533939996E-7;0.27;_;45.49;59.03;6.009588564525605E-7;0.26;_;44.81;62.47;0.0013287996660858636;0.16;_
iTrust;CLUSTER;54.53;65.88;_;_;0.1923;53.84;65.75;_;_;0.1923;50.21;65.89;_;_;0.1818
Maven;IR;26.62;43.26;2.02428806445282E-4;0.29;_;26.53;43.22;1.9207824590740727E-4;0.30;_;23.97;45.87;0.0016848867826339917;0.25;_
Maven;UD;27.63;43.75;0.0011808471311325168;0.26;_;27.63;43.89;0.0011010813965253085;0.26;_;25.80;47.13;0.0903619824719839;0.13;_
Maven;CLUSTER;31.69;46.69;_;_;0.1484;31.49;46.70;_;_;0.1145;26.83;48.24;_;_;0.1383
Gantt;IR;43.20;50.52;6.226354743126486E-9;0.27;_;43.07;52.66;1.2489055315720368E-12;0.33;_;36.40;46.95;2.784667008614039E-18;0.40;_
Gantt;UD;47.99;56.33;0.1105462051320254;0.07;_;47.75;57.87;0.3271981775621934;0.05;_;45.60;57.92;5.610847308646627E-8;0.25;_
Gantt;CLUSTER;47.33;60.65;_;_;0.1320;47.08;60.32;_;_;0.1345;50.93;57.69;_;_;0.1315
