35.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;7.445235571165574E-9;0.30;_;41.61;55.74;3.2457368261890645E-10;0.32;_;38.67;55.88;1.5533716341061238E-8;0.29;_
iTrust;UD;45.76;59.36;2.175930758266108E-5;0.22;_;45.49;59.03;1.630108964938525E-5;0.22;_;44.81;62.47;0.0030794872902266293;0.15;_
iTrust;CLUSTER;53.48;64.96;_;_;0.1146;52.83;65.07;_;_;0.1150;50.24;65.62;_;_;0.1152
Maven;IR;26.62;43.26;0.0023718224755440377;0.24;_;26.53;43.22;0.002415649253317679;0.24;_;23.97;45.87;0.004158145213658738;0.23;_
Maven;UD;27.63;43.75;0.013993149916929584;0.19;_;27.63;43.89;0.011945788907250052;0.20;_;25.80;47.13;0.11090603468930693;0.13;_
Maven;CLUSTER;31.42;45.95;_;_;0.0843;31.23;45.95;_;_;0.0839;26.82;48.16;_;_;0.0835
Gantt;IR;43.20;50.52;1.999063864581712E-6;0.22;_;43.07;52.66;2.4094937293947907E-7;0.24;_;36.40;46.95;2.8981468868043206E-13;0.34;_
Gantt;UD;47.99;56.33;0.3348201762672457;-0.04;_;47.75;57.87;0.06373361792350261;-0.09;_;45.60;57.92;0.0011192927739010249;0.15;_
Gantt;CLUSTER;46.42;58.90;_;_;0.0811;45.83;59.26;_;_;0.0831;48.04;54.67;_;_;0.0816
