40.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;8.887270527894437E-10;0.31;_;41.61;55.74;9.616690277468623E-11;0.33;_;38.67;55.88;1.5533716341061238E-8;0.29;_
iTrust;UD;45.76;59.36;4.430898057344649E-6;0.23;_;45.49;59.03;7.315163503109735E-6;0.23;_;44.81;62.47;0.0030794872902266293;0.15;_
iTrust;CLUSTER;53.88;65.30;_;_;0.1146;53.14;65.25;_;_;0.0963;50.24;65.62;_;_;0.1328
Maven;IR;26.62;43.26;3.9780065351672204E-4;0.28;_;26.53;43.22;0.002415649253317679;0.24;_;23.97;45.87;0.005293142480903537;0.22;_
Maven;UD;27.63;43.75;0.002433386568908012;0.24;_;27.63;43.89;0.015105493011254616;0.19;_;25.80;47.13;0.13964533771486076;0.12;_
Maven;CLUSTER;31.73;46.45;_;_;0.0964;31.04;46.07;_;_;0.0943;26.75;48.24;_;_;0.0947
Gantt;IR;43.20;50.52;5.878129606677434E-7;0.23;_;43.07;52.66;2.0535606471551662E-8;0.26;_;36.40;46.95;5.0748002162640574E-14;0.35;_
Gantt;UD;47.99;56.33;0.8732164325992405;-0.01;_;47.75;57.87;0.25492356039257535;-0.05;_;45.60;57.92;1.906747184428288E-4;0.17;_
Gantt;CLUSTER;46.76;59.41;_;_;0.0972;46.21;59.30;_;_;0.0977;48.55;55.12;_;_;0.0967
