60.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;1.1468756610540253E-4;0.20;_;41.61;55.74;1.5207958704225785E-5;0.22;_;38.67;55.88;4.0622968248266476E-4;0.18;_
iTrust;UD;45.76;59.36;0.02093475066740379;0.12;_;45.49;59.03;0.022217811092056873;0.12;_;44.81;62.47;0.41101843240923064;0.04;_
iTrust;CLUSTER;51.94;61.37;_;_;0.2445;50.29;60.48;_;_;0.1522;47.79;58.44;_;_;0.2973
Maven;IR;26.62;43.36;0.002560923307106555;0.24;_;26.53;43.22;0.002269592361271492;0.24;_;23.97;45.92;0.0032139419527056393;0.23;_
Maven;UD;27.64;43.86;0.01080109981268921;0.20;_;27.63;43.89;0.01010392696675886;0.20;_;25.81;47.17;0.06475535979859456;0.15;_
Maven;CLUSTER;30.77;39.96;_;_;0.1436;30.78;39.80;_;_;0.2484;26.84;39.11;_;_;0.2517
Infinispan;IR;8.02;23.79;3.4144999285691306E-7;0.15;_;7.22;23.69;3.345407114123863E-5;0.12;_;5.90;23.41;2.59188396044856E-7;0.15;_
Infinispan;UD;8.59;24.15;6.647455252411925E-4;0.10;_;8.46;24.50;0.8423031997263397;0.01;_;6.51;24.07;0.013136874626970184;0.07;_
Infinispan;CLUSTER;9.59;22.05;_;_;0.1218;8.68;21.86;_;_;0.1239;7.18;21.49;_;_;0.1218
