20.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;0.001417534849913355;0.16;_;41.61;55.74;2.947896779180478E-4;0.19;_;38.67;55.88;0.002406880188862427;0.16;_
iTrust;UD;45.76;59.36;0.12306300639071521;0.08;_;45.49;59.03;0.12002621578649719;0.08;_;44.81;62.47;0.7651893412360119;0.02;_
iTrust;CLUSTER;51.44;60.48;_;_;0.0944;51.31;60.65;_;_;0.1522;47.58;57.99;_;_;0.1202
Maven;IR;26.62;43.36;0.4190291681769135;0.06;_;26.53;43.22;0.3676732678934168;0.07;_;23.97;45.92;0.04244826011823549;0.16;_
Maven;UD;27.64;43.86;0.9726992482491612;-0.00;_;27.63;43.89;0.994714990700703;0.00;_;25.81;47.17;0.45150511435994634;0.06;_
Maven;CLUSTER;27.77;38.81;_;_;0.0149;27.89;38.64;_;_;0.0379;27.19;38.67;_;_;0.0992
Infinispan;IR;8.02;23.79;8.123860869316079E-4;0.10;_;7.22;23.69;0.002270719001028915;0.09;_;5.90;23.41;6.407434431868046E-4;0.10;_
Infinispan;UD;8.59;24.15;0.0924084984917517;0.05;_;8.46;24.50;0.3797170530333387;-0.03;_;6.51;24.07;0.47209762351194906;0.02;_
Infinispan;CLUSTER;9.11;21.66;_;_;0.0366;8.40;21.37;_;_;0.0373;6.92;20.99;_;_;0.0368
