50.0%; ; ; ;VSM; ; ; ; ;LSI; ; ; ; ;JS;
 ; ;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate;ap;map;p-value;cliff;rate
iTrust;IR;42.51;56.81;3.7420517503954277E-4;0.18;_;41.61;55.74;1.420435084077946E-5;0.22;_;38.67;55.88;3.453460489117862E-4;0.18;_
iTrust;UD;45.76;59.36;0.04352894281084663;0.10;_;45.49;59.03;0.020456225737209174;0.12;_;44.81;62.47;0.3835462566051967;0.04;_
iTrust;CLUSTER;51.69;61.01;_;_;0.2136;50.52;60.80;_;_;0.1174;47.97;58.81;_;_;0.2973
Maven;IR;26.62;43.36;0.002636517532197226;0.24;_;26.53;43.22;0.002354496524823003;0.24;_;23.97;45.92;0.009177474834641779;0.21;_
Maven;UD;27.64;43.86;0.01080109981268921;0.20;_;27.63;43.89;0.010497237945560726;0.20;_;25.81;47.17;0.142027834721293;0.12;_
Maven;CLUSTER;30.62;39.29;_;_;0.1194;30.63;39.14;_;_;0.1185;26.72;38.99;_;_;0.0778
Infinispan;IR;8.02;23.79;2.526618181178751E-7;0.15;_;7.22;23.69;5.7175843528897205E-5;0.12;_;5.90;23.41;4.0024028416927637E-7;0.15;_
Infinispan;UD;8.59;24.15;5.613409526921903E-4;0.10;_;8.46;24.50;0.9390787735877769;0.00;_;6.51;24.07;0.015899145505999007;0.07;_
Infinispan;CLUSTER;9.60;22.07;_;_;0.1459;8.63;21.83;_;_;0.1030;7.21;21.46;_;_;0.1880
